Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,Original_Index,Release_Season
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.53,3.27,7.16,4228.0,Bethesda Game Studios,105,Fall
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,6.83,135.0,EA LA,114,Spring
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.9,6.75,2739.0,Epic Games,117,Fall
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.11,2.26,6.68,993.0,Infinity Ward,120,Fall
FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.24,6.47,576.0,EA Canada,126,Fall
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.52,6.45,1307.0,Ubisoft,127,Fall
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,6.43,1283.0,Bungie Software,129,Fall
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.6,6.41,2527.0,Bethesda Game Studios,130,Fall
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.34,6.34,1163.0,"Bungie Software, Bungie",134,Fall
Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,2.47,0.83,6.3,,,137,Spring
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.59,6.21,1504.0,Epic Games,140,Fall
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,6.05,1026.0,KCEJ,144,Fall
Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,4.47,1.2,6.03,,,145,Fall
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.71,5.99,3558.0,Kojima Productions,147,Summer
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,5.95,972.0,Square Enix,148,Spring
Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1.88,1.47,5.82,364.0,Capcom,151,Winter
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.57,1.55,5.64,62.0,Traveller's Tales,155,Fall
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.71,1.85,5.48,2162.0,Rocksteady Studios,164,Fall
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,2.81,2.19,5.48,764.0,Rockstar North,165,Fall
Dr. Mario,GB,1989.0,Puzzle,Nintendo,2.18,0.96,5.34,,,172,Summer
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,1.62,0.77,5.3,779.0,SquareSoft,175,Summer
Assassin's Creed III,X360,2012.0,Action,Ubisoft,3.13,1.69,5.29,1196.0,Ubisoft,176,Fall
Madden NFL 2004,PS2,,Sports,Electronic Arts,4.26,0.26,5.23,140.0,EA Tiburon,183,Summer
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,0.65,0.75,5.21,245.0,Level 5,186,Fall
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,Nintendo,2.1,0.74,5.15,,,191,Fall
Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,1.63,2.45,5.09,,,198,Fall
Resident Evil 5,PS3,2009.0,Action,Capcom,1.96,1.41,5.09,667.0,Capcom,199,Spring
